,Unnamed: 0,ISIN,sector,name,price_per_share,currency
491,0,IE00BK1PV551,Large/Mid Caps,Xtrackers (IE) Plc - Xtrackers MSCI World UCITS ETF 1D,88.542,EUR
602,0,NO0010081235,Machinery,"NEL ASA            NK-,20",0.1961,EUR
603,0,LU2059756754,Large/Mid/Small Caps,Amundi Index Solutions - Amundi MSCI Emerging Markets SRI Climate Paris Aligned UCITS ETF DR (D),44.72,EUR
604,0,IE000Y77LGG9,Large/Mid Caps,Amundi MSCI World SRI Climate Paris Aligned UCITS ETF Acc,93.12,EUR
605,0,IE00BDZZTM54,Large/Mid Caps,iShares IV plc - iShares MSCI World SRI UCITS ETF USD (Dist),8.219,EUR
606,0,IE00BFNM3K80,Large/Mid Caps,iShares IV plc - iShares MSCI World Screened UCITS ETF USD (Dist),8.2,EUR
607,0,IE00BHZPJ676,Large/Mid/Small Caps,iShares IV plc - iShares MSCI Europe ESG Enhanced CTB UCITS ETF EUR (Dist),7.036,EUR
608,0,IE00BFNM3P36,Large/Mid/Small Caps,iShares IV plc - iShares MSCI EM IMI Screened UCITS ETF USD (Acc),6.172,EUR
609,0,LU1829220133,Large/Mid Caps,MULTI UNITS LUXEMBOURG - Amundi MSCI All Country World UCITS ETF USD Acc,321.6,EUR
610,0,IE000EFHIFG3,Global,Amundi S&P World Communication Services Screened UCITS ETF Acc,15.87,EUR
611,0,IE00B52VJ196,Large Caps,iShares II plc - iShares MSCI Europe SRI UCITS ETF EUR (Acc),69.88,EUR
612,0,IE00BMTX2B82,Large Caps,iShares plc - iShares AEX UCITS ETF EUR (Acc),8.723,EUR
613,0,US6494451031,Banking & Finance,NEW YORK COMMUNITY BANCORP INC REGISTERED SHARES D,3.369,EUR
614,0,IE00BMVB5P51,Vanguard,Vanguard Funds PLC - Vanguard LifeStrategy 60% Equity UCITS ETF (EUR) Accumulating,30.915,EUR
615,0,GB00B15KXQ89,Raw Materials,WisdomTree Copper,36.784,EUR
616,0,IE00BMWXKN31,Hong Kong,HSBC HANG SENG TECH UCITS ETF,6.421,EUR
617,0,IE00BZ173V67,Environment & Recycling,iShares IV plc - iShares MSCI USA SRI UCITS ETF EUR Hedged (Dist),1735.2,EUR
618,0,US83417M1045,Energy & Water,"SOLAREDGE TECHN. DL-,0001",17.544,EUR
619,0,AT000000STR1,Constructions & Material,STRABAG SE,81.1,EUR
620,0,FR0000120073,Chemistry,"AIR LIQUIDE INH. EO 5,50",184.24,EUR
621,0,US67421J1088,Food,OATLY GROUP AB SP.ADS/1,0.45,EUR
622,0,IE00BLRPRL42,Large Caps,WisdomTree NASDAQ 100 3x Daily Leveraged,155.88,EUR
623,0,FI0009013296,Oil & Gas,NESTE CORP.,8.976,EUR
624,0,DE000A0F5UG3,Large Caps,iShares Dow Jones Eurozone Sustainability Screened UCITS ETF (DE) EUR (Dist),19.716,EUR
625,0,US8636671013,Pharmaceuticals & Cosmetics,"STRYKER CORP.      DL-,10",337.6,EUR
626,0,US01609W1027,Internet & Software,ALIBABA GR.HLDG SP.ADR 8,112.0,EUR
627,0,IE00BQT3WG13,Large/Mid Caps,iShares IV plc - iShares MSCI China A UCITS ETF USD (Acc),4.048,EUR
628,0,IE00BWBXM492,SPDR,SSGA SPDR ETFs Europe II plc - SPDR S&P U.S. Energy Select Sector UCITS ETF USD,28.395,EUR
629,0,IE00BD3V0B10,Banking & Finance,iShares V plc - iShares S&P U.S. Banks UCITS ETF USD (Acc),5.317,EUR
630,0,IE000WA6L436,Corporate Bonds,iShares V plc - iShares iBonds Dec 2026 Term € Corp UCITS ETF EUR (Acc),5.4218,EUR
631,0,IE000GUOATN7,iShares,iShares V plc - iShares iBonds Dec 2025 Term € Corp UCITS ETF EUR (Acc),5.2696,EUR
632,0,IE0008UEVOE0,Corporate Bonds,iShares V plc - iShares iBonds Dec 2028 Term € Corp UCITS ETF EUR (Acc),5.4718,EUR
633,0,XS1425274484,Constructions & Material,HEIGR 2 1/4 06/03/24,99.63,EUR
634,0,IE000ZOI8OK5,Corporate Bonds,iShares V plc - iShares iBonds Dec 2027 Term € Corp UCITS ETF EUR (Acc),5.4144,EUR
636,0,XS2002496409,Constructions & Material,BAYWA AG NTS 19/24,99.7,EUR
637,0,IE00BYVQ9F29,Large Caps,iShares VII plc - iShares NASDAQ 100 UCITS ETF EUR Hedged (Acc),11.93,EUR
638,0,LU0950674332,Global,UBS (Lux) Fund Solutions - MSCI World Socially Responsible UCITS ETF (USD) A-acc,29.13,EUR
639,0,DE000A2YN900,Internet & Software,TEAMVIEWER SE  INH O.N.,11.03,EUR
640,0,US91912E1055,Raw Materials,VALE S.A. ADR 1,8.16,EUR
641,0,FR0010755611,Large/Mid Caps,Amundi ETF Leveraged MSCI USA Daily UCITS ETF - EUR,18.798,EUR
642,0,US1729081059,Textiles & Clothing,CINTAS CORP.,190.15,EUR
643,0,BE0003470755,Chemistry,SOLVAY S.A.  A,30.08,EUR
644,0,US45867G1013,Telecommunication,INTERDIGITAL INC. (PA.),187.0,EUR
645,0,DE0005759807,Internet & Software,INIT INNOVATION O.N.,41.7,EUR
646,0,CA00135V1094,Computers & Network,AI ARTIF.INTEL.VENT.INC.,0.246,EUR
647,0,CA92539Q1090,Internet & Software,VERSES AI  CL.A(SUB.VTG.),0.56,EUR
648,0,US08975B1098,Computers & Network,"BIGBEAR.AI HOLD. DL-,0001",2.78,EUR
649,0,FR0004056851,Biotechnology,"VALNEVA SE        EO -,15",2.848,EUR
651,0,IE00BP3QZ601,Large/Mid Caps,iShares IV plc - iShares Edge MSCI World Quality Factor UCITS ETF USD (Acc),60.88,EUR
652,0,AU000000DEG6,Mining,DE GREY MINING LTD. REGISTERED SHARES O.N.,1.369,EUR
653,0,DE000A3E5A59,Pharmaceuticals & Cosmetics,SYNBIOTIC SE  NA O.N.,3.105,EUR
654,0,CA22906X2059,Internet & Software,CRYPTOBLOX TECHNOLOGIES,0.102,EUR
655,0,US4627261005,Electronics,"IROBOT CORP.       DL-,01",2.269,EUR
656,0,GB0003718474,Retail & Stores,"GAMES WORKSHOP GRP LS-,05",185.3,EUR
657,0,US8336351056,Chemistry,SOC. QUIMICA MIN.ADR B 1,30.3,EUR
658,0,FR0013204336,Food,"L.D.C. S.A. INH.  EO 0,40",70.8,EUR
659,0,JE00B588CD74,Raw Materials,WisdomTree Physical Swiss Gold,282.22,EUR
660,0,IE000M7V94E1,Energy & Water,VanEck UCITS ETFs plc - VanEck Uranium and Nuclear Technologies UCITS ETF,28.34,EUR
661,0,JE00B6XL6W59,Raw Materials,WisdomTree Nickel - EUR Daily Hedged,5.679,EUR
662,0,CA88908C1014,Computers & Network,TOKENS.COM CORP.,0.111,EUR
663,0,US0970231058,Aviation & Aeronautics,BOEING CO. DL 5,173.16,EUR
