ISIN,Sector,Name,BuyTotal,SellTotal,BuyPct,SellPct
IE00B1XNHC34,Energy & Water,iShares II plc - iShares Global Clean Energy Transition UCITS ETF USD (Dist),595.38,402.35,0.0009,0.0009
IE00B3WJKG14,Computers & Network,iShares V plc - iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),12374.18,12907.61,0.0194,0.0304
IE00B3YCGJ38,USA,Invesco Markets plc - Invesco S&P 500 UCITS ETF,20.0,117.21,0.0,0.0003
IE00B3YLTY66,Global,SSGA SPDR ETFs Europe I plc - SPDR MSCI All Country World Investable Market UCITS ETF USD Unhedged (Acc),2961.05,1008.25,0.0046,0.0024
IE00B43HR379,Health Care,iShares V plc - iShares S&P 500 Health Care Sector UCITS ETF USD (Acc),1166.74,399.01,0.0018,0.0009
IE00B4L5Y983,Large/Mid Caps,iShares III plc - iShares Core MSCI World UCITS ETF USD (Acc),29654.08,6208.92,0.0465,0.0146
IE00B4NCWG09,Raw Materials,iShares Physical Silver ETC,131.73,55.9,0.0002,0.0001
IE00B4ND3602,Raw Materials,iShares Physical Gold ETC,6856.47,6850.26,0.0108,0.0161
IE00B53SZB19,Large Caps,iShares VII plc - iShares NASDAQ 100 UCITS ETF USD (Acc),2997.45,1834.26,0.0047,0.0043
IE00B5BMR087,Large Caps,iShares VII plc - iShares Core S&P 500 UCITS ETF USD (Acc),32932.62,4091.48,0.0516,0.0096
IE00B6X4BP29,Raw Materials,WisdomTree Gold 3x Daily Short,232.49,218.39,0.0004,0.0005
IE00B8GKDB10,Global,Vanguard Funds PLC - Vanguard FTSE All-World High Dividend Yield UCITS ETF (USD) Distributing,1618.13,571.93,0.0025,0.0013
IE00B9CQXS71,Global,SSGA SPDR ETFs Europe I plc - SPDR S&P Global Dividend Aristocrats UCITS ETF USD,2.91,2.92,0.0,0.0
IE00BDZZTM54,Large/Mid Caps,iShares IV plc - iShares MSCI World SRI UCITS ETF USD (Dist),7.3,13.18,0.0,0.0
IE00BF4RFH31,Mid/Small Caps,iShares III plc - iShares MSCI World Small Cap UCITS ETF USD (Acc),270.0,80.13,0.0004,0.0002
IE00BGV5VN51,Computers & Network,Xtrackers (IE) Plc - Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C 1C,4374.41,21.16,0.0069,0.0
IE00BGV5VR99,Transportation,Xtrackers (IE) Plc - Xtrackers Future Mobility UCITS ETF 1C 1C,1287.08,1327.81,0.002,0.0031
IE00BJ0KDQ92,Large/Mid Caps,Xtrackers (IE) Plc - Xtrackers MSCI World UCITS ETF 1C,2867.59,54.97,0.0045,0.0001
IE00BJ5JNY98,Internet & Software,iShares V plc - iShares MSCI World Information Technology Sector ESG UCITS ETF USD (Dist),3473.56,3261.01,0.0054,0.0077
IE00BK5BR626,Global,Vanguard Funds PLC - Vanguard FTSE All-World High Dividend Yield UCITS ETF (USD) Accumulating,150.0,156.15,0.0002,0.0004
IE00BKM4GZ66,Large/Mid/Small Caps,iShares plc - iShares Core MSCI EM IMI UCITS ETF USD (Acc),6361.49,31.9,0.01,0.0001
IE00BL25JL35,Large/Mid Caps,Xtrackers (IE) Plc - Xtrackers MSCI World Quality UCITS ETF 1C,409.84,397.4,0.0006,0.0009
IE00BM67HT60,Computers & Network,Xtrackers (IE) Plc - Xtrackers MSCI World Information Technology UCITS ETF 1C,2605.21,3229.47,0.0041,0.0076
